geo_point_2d,geo_shape,electricity_provider,outage_maplink,streetlight_faults,type,rating,lightid,extracted,lga_name,longitude,latitude,suburb,ward,postcode,easting,northing,projection,gisfid,address,usage,strname
"-38.1037597459, 145.3507816001","{""coordinates"": [145.3507816001, -38.1037597459], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,307669999,2024-06-07,Casey,145.35078160006452,-38.10375974587191,Clyde North,Dillwynia,3978,355402,5781389,MGA2020 Zone 55,38531,Portobello Boulevard Clyde North 3978,,Portobello Boulevard
"-38.0871704233, 145.3147462361","{""coordinates"": [145.3147462361, -38.0871704233], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,296745826,2024-06-07,Casey,145.31474623610066,-38.08717042326495,Cranbourne East,Correa,3977,352209,5783173,MGA2020 Zone 55,38546,Thompsons Road Cranbourne East 3977,,Thompsons Road
"-38.0191334223, 145.2994687449","{""coordinates"": [145.2994687449, -38.0191334223], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,105.0,306063557,2024-06-07,Casey,145.2994687449075,-38.01913342228619,Narre Warren,Casuarina,3805,350731,5790698,MGA2020 Zone 55,38577,Magid Drive Narre Warren 3805,,Magid Drive
"-38.0769109847, 145.3736842931","{""coordinates"": [145.3736842931, -38.0769109847], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,298356573,2024-06-07,Casey,145.37368429305334,-38.07691098466301,Berwick,Dillwynia,3806,357358,5784404,MGA2020 Zone 55,38580,Fairground Promenade Berwick 3806,,Fairground Promenade
"-38.0524122797, 145.2638294238","{""coordinates"": [145.2638294238, -38.0524122797], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,155.0,325214853,2024-06-07,Casey,145.26382942380374,-38.05241227967636,Hampton Park,River Gum,3976,347672,5786948,MGA2020 Zone 55,38616,Hallam Road Hampton Park 3976,,Hallam Road
"-38.1318121938, 145.3157697601","{""coordinates"": [145.3157697601, -38.1318121938], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,307691055,2024-06-07,Casey,145.31576976008262,-38.131812193801,Clyde,Tooradin,3978,352389,5778221,MGA2020 Zone 55,38638,Spotted Gum Close Clyde 3978,,Spotted Gum Close
"-38.0779262429, 145.3690436253","{""coordinates"": [145.3690436253, -38.0779262429], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,306862228,2024-06-07,Casey,145.3690436252757,-38.07792624289882,Berwick,Dillwynia,3806,356953,5784284,MGA2020 Zone 55,38642,Coachella Way Berwick 3806,,Coachella Way
"-38.0782510285, 145.3689784718","{""coordinates"": [145.3689784718, -38.0782510285], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,14.0,306862260,2024-06-07,Casey,145.36897847183948,-38.078251028474604,Berwick,Dillwynia,3806,356948,5784248,MGA2020 Zone 55,38643,Coachella Way Berwick 3806,,Coachella Way
"-38.0767154768, 145.3711100763","{""coordinates"": [145.3711100763, -38.0767154768], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,331399029,2024-06-07,Casey,145.37111007630313,-38.076715476770545,Berwick,Dillwynia,3806,357132,5784422,MGA2020 Zone 55,38684,Ravello Avenue Berwick 3806,,Ravello Avenue
"-38.1293308135, 145.3158422379","{""coordinates"": [145.3158422379, -38.1293308135], ""type"": ""Point""}",AusNet Services,https://www.outagetracker.com.au/#_ga=2.167494520.716920108.1659588314-1504062682.1651792021,https://www.ausnetservices.com.au/contact,LED,70.0,325708504,2024-06-07,Casey,145.3158422379135,-38.129330813545224,Clyde,Tooradin,3978,352390,5778497,MGA2020 Zone 55,38685,Morison Road Clyde 3978,,Morison Road
